Metric,Mean,Min,Max
Episode,55.55238095238095,1.0,112.0
Total_Energy_Consumed,1358283.673715357,841544.2763333332,2098519.598833333
Total_Power_Consumed,1487.731543611111,1320.0,2059.391166666667
Total_Cost,14.877315436111113,13.2,20.59391166666667
Total Tasks,910.7619047619048,743.0,1000.0
Total_Rejections,48.79047619047619,0.0,559.0
Total_Accepted_Tasks,861.9714285714285,441.0,989.0
Total_Reward,-277.669688988631,-2296.482573515001,-79.22884946145824
