Metric,Mean,Min,Max
Episode,51.07142857142857,1.0,102.0
Total_Energy_Consumed,2144539.7682089712,771430.6292000001,5097800.0
Total_Power_Consumed,1473.6731396683674,1260.0000000000005,2061.738845833334
Total_Cost,14.736731396683677,12.600000000000003,20.61738845833334
Total Tasks,923.5714285714286,786.0,1000.0
Total_Rejections,71.37755102040816,0.0,583.0
Total_Accepted_Tasks,852.1938775510204,417.0,996.0
Total_Reward,-550.7520845882992,-4055.2609854447937,-96.26415289604172
