Metric,Mean,Min,Max
Episode,56.916666666666664,1.0,115.0
Total_Energy_Consumed,1343684.2914675926,705425.6688375,1860839.5999166667
Total_Power_Consumed,1484.447687345679,1320.0,2097.1205
Total_Cost,14.844476873456793,13.2,20.971205
Total Tasks,912.4629629629629,757.0,1000.0
Total_Rejections,56.879629629629626,0.0,623.0
Total_Accepted_Tasks,855.5833333333334,377.0,997.0
Total_Reward,-313.59954961317317,-1918.1391489956236,-78.57258698104175
