time/time_elapsed,time/total_timesteps,time/iterations,time/fps,train/value_loss,rollout/ep_rew_mean,train/approx_kl,train/loss,train/clip_fraction,train/explained_variance,rollout/ep_len_mean,train/clip_range,train/policy_gradient_loss,train/entropy_loss,train/n_updates,train/learning_rate
0,512,1,613,,,,,,,,,,,,
1,1024,2,516,3.1209104299545287,-125.968621,0.00016576424,1.416329264640808,0.0,-0.0514225959777832,997.0,0.11031655633456552,-0.0019134546600980684,-2.99565552175045,10,1.7541893487450798e-05
3,1536,3,479,4.407203707098961,-125.968621,8.513022e-05,1.9968444108963013,0.0,0.009439051151275635,997.0,0.11031655633456552,-0.000992157036671415,-2.995517832040787,20,1.7541893487450798e-05
4,2048,4,476,1.2837090604007244,-125.968621,0.00019212521,0.43803051114082336,0.0,0.056732356548309326,997.0,0.11031655633456552,-0.0016948474512901157,-2.995478907227516,30,1.7541893487450798e-05
5,2560,5,466,0.7727336306124926,-113.6219245,0.00028329634,0.22936128079891205,0.0,-0.5329687595367432,1028.5,0.11031655633456552,-0.002376833063317463,-2.9952798157930376,40,1.7541893487450798e-05
6,3072,6,466,0.31148596331477163,-113.6219245,0.000260902,0.05370417982339859,0.0,-0.027615666389465332,1028.5,0.11031655633456552,-0.001586818674695678,-2.99489885866642,50,1.7541893487450798e-05
7,3584,7,460,0.36839631795883176,-114.49583166666667,0.00017368037,0.07971654832363129,0.0,0.18893450498580933,1032.3333333333333,0.11031655633456552,-0.0013664651778526604,-2.9943789064884188,60,1.7541893487450798e-05
8,4096,8,459,0.07629492431879044,-114.49583166666667,0.0010924778,0.040300995111465454,0.0,-0.024967193603515625,1032.3333333333333,0.11031655633456552,-0.003771666999091394,-2.993864932656288,70,1.7541893487450798e-05
10,4608,9,456,1.1290669448673725,-124.89465425,4.8805843e-05,0.4038008451461792,0.0,0.036094725131988525,1033.75,0.11031655633456552,-0.0004284325987100601,-2.992795619368553,80,1.7541893487450798e-05
11,5120,10,456,0.1869972363114357,-124.89465425,0.00038437953,0.1459265649318695,0.0,0.05222219228744507,1033.75,0.11031655633456552,-0.0017330251110251993,-2.9926096349954605,90,1.7541893487450798e-05
12,5632,11,454,0.379414295963943,-129.102887,0.00014207198,0.1599462628364563,0.0,-0.039992451667785645,1033.8,0.11031655633456552,-0.0012902473681606352,-2.991943097114563,100,1.7541893487450798e-05
13,6144,12,453,663.4860473632813,-423.2714815,7.963274e-06,418.1856384277344,0.0,-0.0025902986526489258,992.0,0.11031655633456552,-8.515877416357399e-05,-2.991694909334183,110,1.7541893487450798e-05
14,6656,13,452,528.0098194122314,-423.2714815,1.4086254e-08,325.511962890625,0.0,-0.002767801284790039,992.0,0.11031655633456552,-1.675342209637165e-05,-2.991699478030205,120,1.7541893487450798e-05
15,7168,14,452,0.9834998637437821,-387.6117687142857,2.6524998e-05,0.4278526306152344,0.0,-0.010749101638793945,996.8571428571429,0.11031655633456552,-0.0004949435126036406,-2.9915331989526748,130,1.7541893487450798e-05
17,7680,15,451,1.0547790288925172,-387.6117687142857,0.00020317384,0.5500062704086304,0.0,-0.09894227981567383,996.8571428571429,0.11031655633456552,-0.0015660284319892527,-2.991230624914169,140,1.7541893487450798e-05
18,8192,16,450,0.7592758025974036,-352.918425625,1.6605132e-05,0.24017952382564545,0.0,-0.1868577003479004,1003.25,0.11031655633456552,-0.00025026089570019395,-2.9910525262355803,150,1.7541893487450798e-05
19,8704,17,448,0.5510134071111679,-352.918425625,3.878167e-05,0.14183153212070465,0.0,-0.09722042083740234,1003.25,0.11031655633456552,-0.0008175513183232396,-2.99077969789505,160,1.7541893487450798e-05
20,9216,18,447,0.1246453202329576,-327.61604877777773,0.000281906,0.042810678482055664,0.0,-0.3070894479751587,1007.0,0.11031655633456552,-0.001535894424887374,-2.9903793185949326,170,1.7541893487450798e-05
21,9728,19,446,0.13729134295135736,-327.61604877777773,0.00072705245,0.056749872863292694,0.0,-0.12514781951904297,1007.0,0.11031655633456552,-0.0035632423183415084,-2.989720916748047,180,1.7541893487450798e-05
22,10240,20,445,14.702053773403168,-334.55315629999996,1.20727345e-05,7.1795477867126465,0.0,-0.0037810802459716797,998.6,0.11031655633456552,0.00014402215601876377,-2.9895776093006132,190,1.7541893487450798e-05
24,10752,21,445,32.45512218475342,-334.55315629999996,6.0291495e-07,17.98580551147461,0.0,-0.022403717041015625,998.6,0.11031655633456552,-9.519578889012336e-05,-2.989476111531258,200,1.7541893487450798e-05
25,11264,22,444,0.3294710015878081,-324.8575368181818,3.3639953e-05,0.08507214486598969,0.0,-0.30330610275268555,1001.4545454545455,0.11031655633456552,-0.0006983546074479819,-2.98946670293808,210,1.7541893487450798e-05
26,11776,23,444,1.4454412817955018,-324.8575368181818,0.0004170147,0.7598780393600464,0.0,0.05524224042892456,1001.4545454545455,0.11031655633456552,-0.003092083055526018,-2.9892783552408217,220,1.7541893487450798e-05
27,12288,24,444,14.267700743675231,-328.2686885,7.7277655e-06,8.368481636047363,0.0,0.016767501831054688,997.6666666666666,0.11031655633456552,-0.00016487077809870243,-2.9886655658483505,230,1.7541893487450798e-05
28,12800,25,443,8.13558811545372,-328.2686885,2.556201e-05,4.57870626449585,0.0,-0.009665727615356445,997.6666666666666,0.11031655633456552,-0.0004389187030028552,-2.9884768933057786,240,1.7541893487450798e-05
